Well,Genotype,Treatment,Inoculate,Use
B2,S. cerevisiae,noPi,stationary,T
B3,S. cerevisiae,noPi,stationary,T
B4,S. cerevisiae,noPi,stationary,T
B5,S. cerevisiae,noPi,stationary,T
C2,C. glabrata,noPi,stationary,T
C3,C. glabrata,noPi,stationary,T
C4,C. glabrata,noPi,stationary,T
C5,C. glabrata,noPi,stationary,T
D2,K. lactis,noPi,stationary,T
D3,K. lactis,noPi,stationary,T
D4,K. lactis,noPi,stationary,T
D5,K. lactis,noPi,stationary,T
E2,C. albicans,noPi,stationary,T
E3,C. albicans,noPi,stationary,T
E4,C. albicans,noPi,stationary,T
E5,C. albicans,noPi,stationary,T
B7,S. cerevisiae,noPi,midlog,F
B8,S. cerevisiae,noPi,midlog,F
B9,S. cerevisiae,noPi,midlog,F
B10,S. cerevisiae,noPi,midlog,F
C7,C. glabrata,noPi,midlog,F
C8,C. glabrata,noPi,midlog,F
C9,C. glabrata,noPi,midlog,F
C10,C. glabrata,noPi,midlog,F
D7,K. lactis,noPi,midlog,F
D8,K. lactis,noPi,midlog,F
D9,K. lactis,noPi,midlog,F
D10,K. lactis,noPi,midlog,F
E7,C. albicans,noPi,midlog,F
E8,C. albicans,noPi,midlog,F
E9,C. albicans,noPi,midlog,F
E10,C. albicans,noPi,midlog,F
